UPRN,TOID
100060757138,osgb1000013031189
100060757128,osgb1000013031195
100060757126,osgb1000013031196
100060757139,osgb1000013031188
100062421623,osgb1000013031203
100060758518,osgb1000013031199
100060755844,osgb1000013030567
100060755843,osgb1000013030568
100060755842,osgb1000013030569
100060755841,osgb1000013030858
100060755837,osgb1000013030585
100060758556,osgb1000013031121
100060758558,osgb1000013031122
100060758560,osgb1000013031123
100060758553,osgb1000013031184
100060758554,osgb1000013031183
100060758555,osgb1000013031182
100060758566,osgb1000013031128
100060758559,osgb1000013031180
100060758568,osgb1000013031127
100060758569,osgb1000013031126
100060758570,osgb1000013031125
10003316744,osgb1000013017100
10003316745,osgb1000013017100
10003316710,osgb1000013017083
10067624181,osgb1000013020744
10067624179,osgb1000013020877
10067624188,osgb1000013020872
10091027520,osgb1000013020702
100062421826,osgb1000013020702
100062421825,osgb1000013020701
10003332463,osgb1000013020698
100062421924,osgb1000002315445592
100062421791,osgb1000002315445592
200002892844,osgb1000002050881268
10067624107,osgb1000002050881267
10094233624,osgb1000042786880
10067634099,osgb1000042881598
10094235411,osgb1000042786880
10067624109,osgb1000002050881269
10003332832,osgb1000013020758
10090466488,osgb1000013020752
10090466490,osgb1000013016770
100062421790,osgb1000013020731
100062421926,osgb1000013020732
10003316880,osgb1000013020750
100062421787,osgb1000013020861
100060757976,osgb1000013033323
100060757978,osgb1000013033322
100060757980,osgb1000013033321
100060757986,osgb1000013033318
100060757988,osgb1000013030434
100060757990,osgb1000013030435
100060757992,osgb1000013030436
100060758000,osgb1000013030690
100060757996,osgb1000013030438
100060757998,osgb1000013030439
100060758004,osgb1000013030692
100060758006,osgb1000013030693
100060757977,osgb1000013033324
100060757979,osgb1000013033325
100060757981,osgb1000013033326
100060757987,osgb1000013033329
100060757989,osgb1000013033330
100060757993,osgb1000013030709
100060757995,osgb1000013030708
100060757997,osgb1000013030707
100060757999,osgb1000013030706
100060758001,osgb1000013030705
100060758003,osgb1000013030704
100060758008,osgb1000013030701
100060758009,osgb1000013030700
100060758010,osgb1000013030699
100060758011,osgb1000013030698
100060758012,osgb1000013030697
100060758013,osgb1000013030696
100060758014,osgb1000013030695
100060754597,osgb1000013033639
100060754595,osgb1000013033641
100062421836,osgb1000013033642
10094231047,osgb1000013033642
100062421862,osgb1000013033620
100060758574,osgb1000013033697
100062421556,osgb1000013033696
100062421513,osgb1000013033694
10023712998,osgb1000002315471927
100062421634,osgb1000013033683
100062421743,osgb1000013033898
10090468384,osgb1000013033898
100062421920,osgb1000013033699
100062421557,osgb1000013033700
100062421454,osgb1000013033700
100062421732,osgb1000013033862
100062421766,osgb1000013033601
100060758075,osgb1000013033678
100060758074,osgb1000013033677
100060758073,osgb1000013033676
100060758072,osgb1000013033675
100060758071,osgb1000013033674
100060758070,osgb1000013033673
100060758069,osgb1000013033669
100060758068,osgb1000013033667
100060758090,osgb1000013033635
100060758091,osgb1000013033636
100060758092,osgb1000013033638
10023713463,osgb1000002315369377
10090466492,osgb1000013016953
100062421776,osgb1000013016952
100060757646,osgb1000013016955
100062421867,osgb5000005187946904
100060757647,osgb1000013016958
100060757648,osgb1000013016959
100060757649,osgb1000013017500
100060757650,osgb1000013017499
100060757651,osgb1000013017498
100060757652,osgb1000013017497
100062421856,osgb1000013016960
100060759794,osgb1000013018875
100062421500,osgb1000041199421
100062421499,osgb1000013033935
100062421503,osgb1000013033934
100062421502,osgb1000013033932
10094231510,osgb5000005290233321
10094231511,osgb5000005290233299
10067624169,osgb5000005289053822
10094231512,osgb5000005290233300
10094231513,osgb5000005290233322
10067624142,osgb1000013016760
10067624141,osgb1000013016761
10067624127,osgb1000013016759
10094231514,osgb5000005244094229
10067624128,osgb1000013016762
10067624182,osgb1000013020745
10067624171,osgb1000013016767
10067624154,osgb1000013016880
100060758655,osgb1000013016893
10067624151,osgb1000013017510
10024250733,osgb1000013016946
10067624172,osgb1000013016944
10090466496,osgb1000013016947
10067624129,osgb1000013016945
100060758684,osgb1000013017185
100060758685,osgb1000013017186
100060758682,osgb1000013017183
100060758683,osgb1000013017184
200002892829,osgb1000013017153
100060758690,osgb1000013017155
100060758695,osgb1000013017158
100060758691,osgb1000013017156
100060758693,osgb1000013017157
10023714742,osgb1000002315498030
100062042036,osgb1000013017331
100062042035,osgb1000013017332
100062625254,osgb1000013016912
10067624160,osgb1000013016911
10067624131,osgb1000013016914
10067624138,osgb1000013016915
10067624167,osgb1000013016897
10067624121,osgb1000013016900
10024250736,osgb1000013016899
10067624162,osgb1000013016969
10008577930,osgb1000013016968
10067624130,osgb1000013016969
100060758738,osgb1000013018709
100060758722,osgb1000013018640
100060758726,osgb1000013018644
100060758730,osgb1000013018724
10091027470,osgb5000005130192685
10091027472,osgb5000005130192686
100060758754,osgb1000013018474
100060758758,osgb1000013018466
100060758755,osgb1000013018472
100060758757,osgb1000013018467
100060758759,osgb1000013018463
100060758674,osgb1000013018654
100060758671,osgb1000013018684
10024248097,osgb1000042885152
100060758678,osgb1000013018877
100060758710,osgb1000013017311
100062625304,osgb1000002315313790
100060758716,osgb1000013017314
100060758718,osgb1000013017315
100060758719,osgb1000013017319
100060758729,osgb1000013017139
200001876973,osgb1000013017529
100060758740,osgb1000013017147
100060758744,osgb1000013018504
100060758736,osgb1000013017142
100060758745,osgb1000013018506
100060758746,osgb1000013018507
100060758747,osgb1000013018508
100060758748,osgb1000013018509
100060758749,osgb1000013018510
100060758750,osgb1000013018511
100060758751,osgb1000013018512
100060758752,osgb1000013018513
10024249451,osgb1000002315361191
100060759793,osgb1000013018679
100060759806,osgb1000013018829
100060759795,osgb1000013018689
100060759803,osgb1000013018828
100060759791,osgb1000013018690
100060759801,osgb1000013018826
10023713507,osgb1000013018825
100060759789,osgb1000013018692
100060759798,osgb1000013018825
100060759787,osgb1000013018693
100060759796,osgb1000013018824
100060759785,osgb1000013018694
100060759783,osgb1000013018695
100060759781,osgb1000013018696
100060759790,osgb1000013018820
100060759779,osgb1000013018698
100060759788,osgb1000013018819
100060759777,osgb1000013018699
100060759786,osgb1000013018815
100060759775,osgb1000013018700
100060759782,osgb1000013018812
100060759916,osgb1000013018701
100060759780,osgb1000013018813
100060759778,osgb1000013018807
100060759776,osgb1000013018806
100060759912,osgb1000013018703
10003328383,osgb1000013018704
10091027478,osgb5000005130192682
100060759913,osgb1000013018804
10024247575,osgb1000002315313798
10024247573,osgb1000002315313798
10024247574,osgb1000002315313797
10024247571,osgb1000002315313797
100060758778,osgb1000013018687
200001658954,osgb1000013018688
10003316734,osgb1000013018859
10003316732,osgb1000013018831
100060759840,osgb1000013019270
100062042374,osgb1000013019439
100060759838,osgb1000013019271
100060759836,osgb1000013019272
100060759832,osgb1000013018559
100060759830,osgb1000013018560
100060759828,osgb1000013018561
100060759826,osgb1000013018562
100060759824,osgb1000013018563
100060759822,osgb1000013018564
100062042364,osgb1000013018881
100060759820,osgb1000013018565
100062042363,osgb1000013018880
100060759818,osgb1000013018566
100060759816,osgb1000013018567
100062042361,osgb1000013018878
100060759814,osgb1000013018568
100060759812,osgb1000013018569
100060759807,osgb1000013018571
100060759917,osgb1000013018581
100060759804,osgb1000013018572
100060759802,osgb1000013018573
100060759918,osgb1000013018860
100060759800,osgb1000013018574
100060759799,osgb1000013018575
10067624273,osgb1000013018861
100062421911,osgb1000013018582
100060759810,osgb1000013018583
100060759811,osgb1000013018585
100060759808,osgb1000013018586
100060759827,osgb1000013019226
100060759825,osgb1000013019227
100060759823,osgb1000013019228
100060759819,osgb1000013019230
100060759817,osgb1000013019231
100060759844,osgb1000013019268
100060759813,osgb1000013019233
100060759874,osgb1000013019203
100060759914,osgb1000013018963
100060759868,osgb1000013019205
100060759876,osgb1000013018964
100060759875,osgb1000013018964
100060759865,osgb1000013019206
100060759873,osgb1000013018965
100060759872,osgb1000013018965
100060759859,osgb1000013019209
100060759869,osgb1000013018966
100060759866,osgb1000013018967
100060759857,osgb1000013019210
100060759855,osgb1000013019211
100060759853,osgb1000013019212
100060759864,osgb1000013018968
100060759862,osgb1000013018969
100060759849,osgb1000013019214
100060759860,osgb1000013018970
100060759858,osgb1000013018971
100060759845,osgb1000013019217
100060759856,osgb1000013018972
100060759843,osgb1000013019218
100060759841,osgb1000013019219
100060759835,osgb1000013019222
100060759833,osgb1000013019223
100060759831,osgb1000013019224
100060759829,osgb1000013019225
100060759911,osgb1000013019036
100060759907,osgb1000013019182
100060759905,osgb1000013019433
100060759899,osgb1000013019186
100060759897,osgb1000013019187
100060759895,osgb1000013019188
100060759908,osgb1000013019032
100060759906,osgb1000013019031
100060759893,osgb1000013019189
100060759904,osgb1000013019030
100060759890,osgb1000013019190
100060759902,osgb1000013019029
100060759900,osgb1000013019028
100060759887,osgb1000013019408
100060759898,osgb1000013019027
100060759896,osgb1000013019026
100060759894,osgb1000013019025
100060759883,osgb1000013019195
100060759889,osgb1000013019023
100060759882,osgb1000013019196
100060759881,osgb1000013019197
100060759886,osgb1000013019022
100060759884,osgb1000013019021
100060759879,osgb1000013019199
100060759878,osgb1000013019200
100060759877,osgb1000013019201
100062707159,osgb1000013019033
10003316299,osgb1000013010679
10003316207,osgb1000013010678
10003316206,osgb1000013010677
10003316205,osgb1000013010676
10003316204,osgb1000013010675
10003316203,osgb1000013010674
10003316200,osgb1000013010672
100060758587,osgb5000005101793665
10024249726,osgb5000005101793667
100060758589,osgb1000013010335
100060758590,osgb1000013010334
100060758591,osgb1000013010333
100060758592,osgb1000013010332
100060758593,osgb1000013010331
100060758594,osgb1000013010330
100060758595,osgb1000013010327
100060758586,osgb1000013010252
10013855953,osgb1000013011013
10003316249,osgb1000013010366
10003316250,osgb1000013010108
10003316247,osgb1000013010112
10003316245,osgb1000013010113
10024248106,osgb1000013010114
10003316302,osgb1000013010115
10013855367,osgb1000002315403319
10013855366,osgb1000002315403322
10067624043,osgb1000013010358
10003316298,osgb1000002315313585
10003316243,osgb1000013010117
10013855365,osgb1000002315403323
10013855364,osgb1000002315403321
10091894471,osgb1000013010120
10091028160,osgb1000013010120
10003316241,osgb1000013010121
10003316240,osgb1000013010122
10003316234,osgb1000013010353
10003316238,osgb1000013010123
10003316237,osgb5000005187668786
10003316232,osgb1000013010352
10003316235,osgb1000013010126
10003316233,osgb1000013010131
10003316231,osgb1000013010132
10003316227,osgb1000013010348
10003316228,osgb1000013010133
10003316226,osgb1000013010134
10003316224,osgb1000013010135
10003316222,osgb1000013010136
10003316301,osgb1000013010137
10003316219,osgb1000013010138
10091027386,osgb5000005134335938
10003316215,osgb1000013010139
10091027387,osgb5000005134335939
10003316220,osgb1000013010343
10003316297,osgb1000013010147
10091030110,osgb5000005195751322
10003316217,osgb1000013010149
10003316218,osgb1000013010342
10003316212,osgb1000013010341
10003316210,osgb1000013010339
10090466902,osgb1000013010360
10091030109,osgb5000005187021358
100060753634,osgb1000013010295
100060753636,osgb1000013010297
100060753638,osgb1000013010298
100060753639,osgb1000013010299
100060753641,osgb1000013010300
100060753633,osgb1000013010294
100060753635,osgb1000013010374
100060753637,osgb1000013010375
100060753644,osgb1000013010301
100060753640,osgb1000013010380
100062421771,osgb1000013010420
100060753647,osgb1000013010389
100060753648,osgb1000013010390
100060753651,osgb1000013010396
100060753649,osgb1000013010391
